Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,1593,15930,20000,20000
0,1,20000,22000,1593,15930,40000,40000
0,2,40000,42000,1593,15930,60000,60000
0,3,60000,62000,1593,15930,80000,80000
0,4,80000,82000,1593,15930,100000,100000
0,5,100000,102000,1593,15930,120000,120000
0,6,120000,122000,1593,15930,140000,140000
0,7,140000,142000,1593,15930,160000,160000
0,8,160000,162000,1593,15930,180000,180000
0,9,180000,182000,1593,15930,200000,200000
0,10,200000,202000,1593,15930,220000,220000
0,11,220000,222000,1593,15930,240000,240000
0,12,240000,242000,1593,15930,260000,260000
0,13,260000,262000,1593,15930,280000,280000
0,14,280000,282000,1593,15930,300000,300000
0,15,300000,302000,1593,15930,320000,320000
0,16,320000,322000,1593,15930,340000,340000
0,17,340000,342000,1593,15930,360000,360000
0,18,360000,362000,1593,15930,380000,380000
0,19,380000,382000,1593,15930,400000,400000
0,20,400000,402000,1593,15930,420000,420000
0,21,420000,422000,1593,15930,440000,440000
0,22,440000,442000,1593,15930,460000,460000
0,23,460000,462000,1593,15930,480000,480000
0,24,480000,482000,1593,15930,500000,500000
0,25,500000,502000,1593,15930,520000,520000
0,26,520000,522000,1593,15930,540000,540000
0,27,540000,542000,1593,15930,560000,560000
0,28,560000,562000,1593,15930,580000,580000
0,29,580000,582000,1593,15930,600000,600000
0,30,600000,602000,1593,15930,620000,620000
0,31,620000,622000,1593,15930,640000,640000
0,32,640000,642000,1593,15930,660000,660000
0,33,660000,662000,1593,15930,680000,680000
0,34,680000,682000,1593,15930,700000,700000
0,35,700000,702000,1593,15930,720000,720000
0,36,720000,722000,1593,15930,740000,740000
0,37,740000,742000,1593,15930,760000,760000
0,38,760000,762000,1593,15930,780000,780000
0,39,780000,782000,1593,15930,800000,800000
0,40,800000,802000,1593,15930,820000,820000
0,41,820000,822000,1593,15930,840000,840000
1,0,0,4000,3333,33336,40000,40000
1,1,40000,44000,3333,33336,80000,80000
1,2,80000,84000,3333,33336,120000,120000
1,3,120000,124000,3333,33336,160000,160000
1,4,160000,164000,3333,33336,200000,200000
1,5,200000,204000,3333,33336,240000,240000
1,6,240000,244000,3333,33336,280000,280000
1,7,280000,284000,3333,33336,320000,320000
1,8,320000,324000,3333,33336,360000,360000
1,9,360000,364000,3333,33336,400000,400000
1,10,400000,404000,3333,33336,440000,440000
1,11,440000,444000,3333,33336,480000,480000
1,12,480000,484000,3333,33336,520000,520000
1,13,520000,524000,3333,33336,560000,560000
1,14,560000,564000,3333,33336,600000,600000
1,15,600000,604000,3333,33336,640000,640000
1,16,640000,644000,3333,33336,680000,680000
1,17,680000,684000,3333,33336,720000,720000
1,18,720000,724000,3333,33336,760000,760000
1,19,760000,764000,3333,33336,800000,800000
1,20,800000,804000,3333,33336,840000,840000
2,0,0,4000,1614,16145,40000,40000
2,1,40000,44000,1614,16145,80000,80000
2,2,80000,84000,1614,16145,120000,120000
2,3,120000,124000,1614,16145,160000,160000
2,4,160000,164000,1614,16145,200000,200000
2,5,200000,204000,1614,16145,240000,240000
2,6,240000,244000,1614,16145,280000,280000
2,7,280000,284000,1614,16145,320000,320000
2,8,320000,324000,1614,16145,360000,360000
2,9,360000,364000,1614,16145,400000,400000
2,10,400000,404000,1614,16145,440000,440000
2,11,440000,444000,1614,16145,480000,480000
2,12,480000,484000,1614,16145,520000,520000
2,13,520000,524000,1614,16145,560000,560000
2,14,560000,564000,1614,16145,600000,600000
2,15,600000,604000,1614,16145,640000,640000
2,16,640000,644000,1614,16145,680000,680000
2,17,680000,684000,1614,16145,720000,720000
2,18,720000,724000,1614,16145,760000,760000
2,19,760000,764000,1614,16145,800000,800000
2,20,800000,804000,1614,16145,840000,840000
3,0,0,6000,5217,52172,60000,60000
3,1,60000,66000,5217,52172,120000,120000
3,2,120000,126000,5217,52172,180000,180000
3,3,180000,186000,5217,52172,240000,240000
3,4,240000,246000,5217,52172,300000,300000
3,5,300000,306000,5217,52172,360000,360000
3,6,360000,366000,5217,52172,420000,420000
3,7,420000,426000,5217,52172,480000,480000
3,8,480000,486000,5217,52172,540000,540000
3,9,540000,546000,5217,52172,600000,600000
3,10,600000,606000,5217,52172,660000,660000
3,11,660000,666000,5217,52172,720000,720000
3,12,720000,726000,5217,52172,780000,780000
3,13,780000,786000,5217,52172,840000,840000
4,0,0,7000,4878,48782,70000,70000
4,1,70000,77000,4878,48782,140000,140000
4,2,140000,147000,4878,48782,210000,210000
4,3,210000,217000,4878,48782,280000,280000
4,4,280000,287000,4878,48782,350000,350000
4,5,350000,357000,4878,48782,420000,420000
4,6,420000,427000,4878,48782,490000,490000
4,7,490000,497000,4878,48782,560000,560000
4,8,560000,567000,4878,48782,630000,630000
4,9,630000,637000,4878,48782,700000,700000
4,10,700000,707000,4878,48782,770000,770000
4,11,770000,777000,4878,48782,840000,840000
