Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,100,7736,12894,100000,100000
0,1,100000,100100,7736,12894,200000,200000
0,2,200000,200100,7736,12894,300000,300000
0,3,300000,300100,7736,12894,400000,400000
0,4,400000,400100,7736,12894,500000,500000
0,5,500000,500100,7736,12894,600000,600000
0,6,600000,600100,7736,12894,700000,700000
0,7,700000,700100,7736,12894,800000,800000
0,8,800000,800100,7736,12894,900000,900000
1,0,0,100,14862,24770,100000,100000
1,1,100000,100100,14862,24770,200000,200000
1,2,200000,200100,14862,24770,300000,300000
1,3,300000,300100,14862,24770,400000,400000
1,4,400000,400100,14862,24770,500000,500000
1,5,500000,500100,14862,24770,600000,600000
1,6,600000,600100,14862,24770,700000,700000
1,7,700000,700100,14862,24770,800000,800000
1,8,800000,800100,14862,24770,900000,900000
2,0,0,100,80493,134155,300000,300000
2,1,300000,300100,80493,134155,600000,600000
2,2,600000,600100,80493,134155,900000,900000
3,0,0,100,114867,191446,450000,450000
3,1,450000,450100,114867,191446,900000,900000
4,0,0,100,189390,315650,900000,900000
