Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,100,18539,46348,100000,100000
0,1,100000,100100,18539,46348,200000,200000
0,2,200000,200100,18539,46348,300000,300000
0,3,300000,300100,18539,46348,400000,400000
0,4,400000,400100,18539,46348,500000,500000
0,5,500000,500100,18539,46348,600000,600000
0,6,600000,600100,18539,46348,700000,700000
0,7,700000,700100,18539,46348,800000,800000
0,8,800000,800100,18539,46348,900000,900000
0,9,900000,900100,18539,46348,1000000,1000000
0,10,1000000,1000100,18539,46348,1100000,1100000
0,11,1100000,1100100,18539,46348,1200000,1200000
0,12,1200000,1200100,18539,46348,1300000,1300000
0,13,1300000,1300100,18539,46348,1400000,1400000
0,14,1400000,1400100,18539,46348,1500000,1500000
0,15,1500000,1500100,18539,46348,1600000,1600000
0,16,1600000,1600100,18539,46348,1700000,1700000
0,17,1700000,1700100,18539,46348,1800000,1800000
0,18,1800000,1800100,18539,46348,1900000,1900000
0,19,1900000,1900100,18539,46348,2000000,2000000
0,20,2000000,2000100,18539,46348,2100000,2100000
0,21,2100000,2100100,18539,46348,2200000,2200000
0,22,2200000,2200100,18539,46348,2300000,2300000
0,23,2300000,2300100,18539,46348,2400000,2400000
0,24,2400000,2400100,18539,46348,2500000,2500000
0,25,2500000,2500100,18539,46348,2600000,2600000
0,26,2600000,2600100,18539,46348,2700000,2700000
0,27,2700000,2700100,18539,46348,2800000,2800000
0,28,2800000,2800100,18539,46348,2900000,2900000
0,29,2900000,2900100,18539,46348,3000000,3000000
0,30,3000000,3000100,18539,46348,3100000,3100000
0,31,3100000,3100100,18539,46348,3200000,3200000
0,32,3200000,3200100,18539,46348,3300000,3300000
0,33,3300000,3300100,18539,46348,3400000,3400000
0,34,3400000,3400100,18539,46348,3500000,3500000
0,35,3500000,3500100,18539,46348,3600000,3600000
0,36,3600000,3600100,18539,46348,3700000,3700000
0,37,3700000,3700100,18539,46348,3800000,3800000
0,38,3800000,3800100,18539,46348,3900000,3900000
0,39,3900000,3900100,18539,46348,4000000,4000000
0,40,4000000,4000100,18539,46348,4100000,4100000
0,41,4100000,4100100,18539,46348,4200000,4200000
0,42,4200000,4200100,18539,46348,4300000,4300000
0,43,4300000,4300100,18539,46348,4400000,4400000
0,44,4400000,4400100,18539,46348,4500000,4500000
0,45,4500000,4500100,18539,46348,4600000,4600000
0,46,4600000,4600100,18539,46348,4700000,4700000
0,47,4700000,4700100,18539,46348,4800000,4800000
0,48,4800000,4800100,18539,46348,4900000,4900000
0,49,4900000,4900100,18539,46348,5000000,5000000
0,50,5000000,5000100,18539,46348,5100000,5100000
0,51,5100000,5100100,18539,46348,5200000,5200000
0,52,5200000,5200100,18539,46348,5300000,5300000
0,53,5300000,5300100,18539,46348,5400000,5400000
0,54,5400000,5400100,18539,46348,5500000,5500000
0,55,5500000,5500100,18539,46348,5600000,5600000
0,56,5600000,5600100,18539,46348,5700000,5700000
0,57,5700000,5700100,18539,46348,5800000,5800000
0,58,5800000,5800100,18539,46348,5900000,5900000
0,59,5900000,5900100,18539,46348,6000000,6000000
1,0,0,100,8008,20022,300000,300000
1,1,300000,300100,8008,20022,600000,600000
1,2,600000,600100,8008,20022,900000,900000
1,3,900000,900100,8008,20022,1200000,1200000
1,4,1200000,1200100,8008,20022,1500000,1500000
1,5,1500000,1500100,8008,20022,1800000,1800000
1,6,1800000,1800100,8008,20022,2100000,2100000
1,7,2100000,2100100,8008,20022,2400000,2400000
1,8,2400000,2400100,8008,20022,2700000,2700000
1,9,2700000,2700100,8008,20022,3000000,3000000
1,10,3000000,3000100,8008,20022,3300000,3300000
1,11,3300000,3300100,8008,20022,3600000,3600000
1,12,3600000,3600100,8008,20022,3900000,3900000
1,13,3900000,3900100,8008,20022,4200000,4200000
1,14,4200000,4200100,8008,20022,4500000,4500000
1,15,4500000,4500100,8008,20022,4800000,4800000
1,16,4800000,4800100,8008,20022,5100000,5100000
1,17,5100000,5100100,8008,20022,5400000,5400000
1,18,5400000,5400100,8008,20022,5700000,5700000
1,19,5700000,5700100,8008,20022,6000000,6000000
2,0,0,100,26285,65714,300000,300000
2,1,300000,300100,26285,65714,600000,600000
2,2,600000,600100,26285,65714,900000,900000
2,3,900000,900100,26285,65714,1200000,1200000
2,4,1200000,1200100,26285,65714,1500000,1500000
2,5,1500000,1500100,26285,65714,1800000,1800000
2,6,1800000,1800100,26285,65714,2100000,2100000
2,7,2100000,2100100,26285,65714,2400000,2400000
2,8,2400000,2400100,26285,65714,2700000,2700000
2,9,2700000,2700100,26285,65714,3000000,3000000
2,10,3000000,3000100,26285,65714,3300000,3300000
2,11,3300000,3300100,26285,65714,3600000,3600000
2,12,3600000,3600100,26285,65714,3900000,3900000
2,13,3900000,3900100,26285,65714,4200000,4200000
2,14,4200000,4200100,26285,65714,4500000,4500000
2,15,4500000,4500100,26285,65714,4800000,4800000
2,16,4800000,4800100,26285,65714,5100000,5100000
2,17,5100000,5100100,26285,65714,5400000,5400000
2,18,5400000,5400100,26285,65714,5700000,5700000
2,19,5700000,5700100,26285,65714,6000000,6000000
3,0,0,100,36916,92292,300000,300000
3,1,300000,300100,36916,92292,600000,600000
3,2,600000,600100,36916,92292,900000,900000
3,3,900000,900100,36916,92292,1200000,1200000
3,4,1200000,1200100,36916,92292,1500000,1500000
3,5,1500000,1500100,36916,92292,1800000,1800000
3,6,1800000,1800100,36916,92292,2100000,2100000
3,7,2100000,2100100,36916,92292,2400000,2400000
3,8,2400000,2400100,36916,92292,2700000,2700000
3,9,2700000,2700100,36916,92292,3000000,3000000
3,10,3000000,3000100,36916,92292,3300000,3300000
3,11,3300000,3300100,36916,92292,3600000,3600000
3,12,3600000,3600100,36916,92292,3900000,3900000
3,13,3900000,3900100,36916,92292,4200000,4200000
3,14,4200000,4200100,36916,92292,4500000,4500000
3,15,4500000,4500100,36916,92292,4800000,4800000
3,16,4800000,4800100,36916,92292,5100000,5100000
3,17,5100000,5100100,36916,92292,5400000,5400000
3,18,5400000,5400100,36916,92292,5700000,5700000
3,19,5700000,5700100,36916,92292,6000000,6000000
4,0,0,100,22285,55713,400000,400000
4,1,400000,400100,22285,55713,800000,800000
4,2,800000,800100,22285,55713,1200000,1200000
4,3,1200000,1200100,22285,55713,1600000,1600000
4,4,1600000,1600100,22285,55713,2000000,2000000
4,5,2000000,2000100,22285,55713,2400000,2400000
4,6,2400000,2400100,22285,55713,2800000,2800000
4,7,2800000,2800100,22285,55713,3200000,3200000
4,8,3200000,3200100,22285,55713,3600000,3600000
4,9,3600000,3600100,22285,55713,4000000,4000000
4,10,4000000,4000100,22285,55713,4400000,4400000
4,11,4400000,4400100,22285,55713,4800000,4800000
4,12,4800000,4800100,22285,55713,5200000,5200000
4,13,5200000,5200100,22285,55713,5600000,5600000
4,14,5600000,5600100,22285,55713,6000000,6000000
5,0,0,100,121139,302848,750000,750000
5,1,750000,750100,121139,302848,1500000,1500000
5,2,1500000,1500100,121139,302848,2250000,2250000
5,3,2250000,2250100,121139,302848,3000000,3000000
5,4,3000000,3000100,121139,302848,3750000,3750000
5,5,3750000,3750100,121139,302848,4500000,4500000
5,6,4500000,4500100,121139,302848,5250000,5250000
5,7,5250000,5250100,121139,302848,6000000,6000000
